player_col,rapm_score,hltv_player_id,hltv_slug,player_name,label
p_20254,1.4626918553930874,20254,starry,starry,starry
p_19882,1.4328416042495036,19882,norwi,norwi,norwi
p_20333,1.4282576271437928,20333,jeorge,jeorge,jeorge
p_19206,1.4092059543268538,19206,jl,jl,jl
p_20692,1.4026553530536594,20692,dea,dea,dea
p_22674,1.3967155841212209,22674,cmtry,cmtry,cmtry
p_17803,1.3946100250583768,17803,fear,fear,fear
p_12018,1.3928749407922785,12018,teses,teses,teses
p_19677,1.3928749407922625,19677,kyxsan,kyxsan,kyxsan
p_20097,1.3894241588742897,20097,h4rn,h4rn,h4rn
p_18987,1.3893611357168272,18987,b1t,b1t,b1t
p_20127,1.3893611357168234,20127,w0nderful,w0nderful,w0nderful
p_9816,1.3893611357168216,9816,aleksib,aleksib,aleksib
p_14759,1.3893611357168032,14759,im,im,im
p_22570,1.3843739607600911,22570,tomaszin,tomaszin,tomaszin
p_8738,1.3829763606689183,8738,elige,elige,elige
p_21972,1.377358711525826,21972,neityu,neityu,neityu
p_14932,1.3728527289051882,14932,faven,faven,faven
p_19874,1.3720623117536137,19874,masval,masval,masval
p_23600,1.3683472356256996,23600,alkaren,alkaren,alkaren
p_16599,1.3672099631649406,16599,swisher,swisher,swisher
p_15370,1.3672099631649404,15370,slaxz,slaxz,slaxz
p_24173,1.362323309528034,24173,tenzy,tenzy,tenzy
p_22673,1.359905407778653,22673,makazze,makazze,makazze
p_11617,1.3522542286539807,11617,malbsmd,malbsmd,malbsmd
p_4679,1.3368222977998867,4679,jks,jks,jks
p_19617,1.3339541212770363,19617,amster,amster,amster
p_20245,1.3269928367548924,20245,samey,samey,samey
p_24177,1.3184348469712472,24177,kyousuke,kyousuke,kyousuke
p_24203,1.3167929752266456,24203,jorko,jorko,jorko
p_21621,1.3126050429817724,21621,moseyuh,moseyuh,moseyuh
p_20026,1.312169605458169,20026,chayjesus,chayjesus,chayjesus
p_17117,1.3091215276933792,17117,shield,shield,shield
p_20194,1.306845996842609,20194,blitz,blitz,blitz
p_21001,1.3068459968425992,21001,mzinho,mzinho,mzinho
p_21809,1.3068459968425992,21809,910,910,910
p_20275,1.3068459968425932,20275,techno,techno,techno
p_22011,1.3064314725214137,22011,kadziu,kadziu,kadziu
p_20085,1.3061174475740058,20085,kauez,kauez,kauez
p_12708,1.301167023819998,12708,rigon,rigon,rigon
p_21710,1.3007797632461933,21710,notineki,notineki,notineki
p_16612,1.2970433355113469,16612,n0rb3r7,n0rb3r7,n0rb3r7
p_150,1.2808958383830453,150,maj3r,maj3r,maj3r
p_21243,1.280895838383019,21243,wicadia,wicadia,wicadia
p_8574,1.280895838383019,8574,woxic,woxic,woxic
p_21163,1.2803698538263457,21163,susp,susp,susp
p_14148,1.271481666976477,14148,sjuush,sjuush,sjuush
p_22076,1.2712723584108965,22076,aw,aw,aw
p_19846,1.2640301933475928,19846,clasia,clasia,clasia
p_21199,1.2627945452759044,21199,mistr,mistr,mistr
p_8248,1.2557663148271077,8248,jkaem,jkaem,jkaem
p_20879,1.2496234702562132,20879,maxster,maxster,maxster
p_16487,1.2460958126556057,16487,eraa,eraa,eraa
p_11739,1.2378886943972065,11739,shz,shz,shz
p_22703,1.2374693243104615,22703,moonwalk,moonwalk,moonwalk
p_16717,1.236510903766604,16717,br0,br0,br0
p_16848,1.2342776755145193,16848,hades,hades,hades
p_18462,1.2336259373595173,18462,mezii,mezii,mezii
p_22835,1.2252420148429568,22835,rekmeister,rekmeister,rekmeister
p_21763,1.22518573963398,21763,ultimate,ultimate,ultimate
p_20522,1.222023420495821,20522,gbb,gbb,gbb
p_20253,1.2215375668280528,20253,dragon,dragon,dragon
p_20304,1.2176131934863568,20304,staehr,staehr,staehr
p_17956,1.2176131934863434,17956,jabbi,jabbi,jabbi
p_23140,1.2128933973293472,23140,krazy,krazy,krazy
p_8183,1.2068001553563155,8183,rain,rain,rain
p_15071,1.2067291306908912,15071,interz,interz,interz
p_18141,1.2042240828754023,18141,biguzera,biguzera,biguzera
p_6904,1.2038334287200796,6904,styko,styko,styko
p_9911,1.2015205962936204,9911,kreaz,kreaz,kreaz
p_22807,1.200156967907112,22807,aragornn,aragornn,aragornn
p_21037,1.1887630147486616,21037,insani,insani,insani
p_11154,1.1887630147486528,11154,exit,exit,exit
